site_id,flow_type,functional_unit,normalization_key,allocation_factor,unit,activity_name,mining_processing_type,archetypes,npv,operation_periods,data_source,value_formula,parameter_distribution,value_normalized,reference_mass_unit
ON-MAIN-f8313ebd,occupation,Zn concentrate,land_concentrate_economic,0.2769741121028128,m2*year,Underground mining and beneficiation at Kidd Creek,"Underground, concentrator",Cu polymetallic,Cool Mixed Forest,1963–open,MetalliCan,,,0.015076624905241425,kg
ON-MAIN-fefeaee4,transformation_from,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Cold Evergreen Needleleaf Forest,1997–open,MetalliCan,,,13.56892100291842,kg
ON-MAIN-fefeaee4,transformation_to,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Cold Evergreen Needleleaf Forest,1997–open,MetalliCan,,,13.56892100291842,kg
ON-MAIN-fefeaee4,occupation,Doré,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at Musselwhite,"Underground, concentrator",Au–Ag free-milling,Cold Evergreen Needleleaf Forest,1997–open,MetalliCan,,,271.3784200583684,kg
QC-MAIN-02884fb5,transformation_from,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2014–open,MetalliCan,,,88.0142475282244,kg
QC-MAIN-02884fb5,transformation_to,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2014–open,MetalliCan,,,88.0142475282244,kg
QC-MAIN-02884fb5,occupation,Doré,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2014–open,MetalliCan,,,1760.2849505644879,kg
QC-MAIN-6dc537e6,transformation_from,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Cold Evergreen Needleleaf Forest,2015–open,MetalliCan,,,9.339130497298893,kg
QC-MAIN-6dc537e6,transformation_to,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Cold Evergreen Needleleaf Forest,2015–open,MetalliCan,,,9.339130497298893,kg
QC-MAIN-6dc537e6,occupation,Doré,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Au–Ag free-milling,Cold Evergreen Needleleaf Forest,2015–open,MetalliCan,,,186.78260994597787,kg
QC-MAIN-9de9bb0d,transformation_from,Doré,land_concentrate_economic,1.0,m2,Open-pit mining and beneficiation at Kiena,"Open-pit, concentrator",Au–Ag free-milling,Unspecified NPV,1936–1996; 2005–2013; 2021–open,MetalliCan,,,140.81397189903979,kg
QC-MAIN-9de9bb0d,transformation_to,Doré,land_concentrate_economic,1.0,m2,Open-pit mining and beneficiation at Kiena,"Open-pit, concentrator",Au–Ag free-milling,Unspecified NPV,1936–1996; 2005–2013; 2021–open,MetalliCan,,,140.81397189903979,kg
