main_id,facility_group_id,substance_name,unit,value,site_id,activity_name,metal,mass_t,allocation_factor,value_normalized,Reference product,normalization_key
NU-MAIN-8b0264c9,,Hydrogen sulphide,tonnes,69.569856,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,5.718452273496401,Ag,metal_mass
NU-MAIN-8b0264c9,,Lead (and its compounds),kg,0.57485,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.04725110095699215,Au,metal_mass
NU-MAIN-8b0264c9,,Lead (and its compounds),kg,0.57485,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.04725110095699215,Ag,metal_mass
NU-MAIN-8b0264c9,,Manganese (and its compounds),tonnes,0.036073,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.002965102139378234,Au,metal_mass
NU-MAIN-8b0264c9,,Manganese (and its compounds),tonnes,0.036073,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.002965102139378234,Ag,metal_mass
NU-MAIN-8b0264c9,,Nickel (and its compounds),tonnes,0.002941,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.00024174217259200474,Au,metal_mass
NU-MAIN-8b0264c9,,Nickel (and its compounds),tonnes,0.002941,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.0002417421725920047,Ag,metal_mass
NU-MAIN-8b0264c9,,Phosphorus (total),tonnes,0.014506,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.0011923536061270385,Au,metal_mass
NU-MAIN-8b0264c9,,Phosphorus (total),tonnes,0.014506,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.0011923536061270385,Ag,metal_mass
NU-MAIN-8b0264c9,,PM10 - Particulate Matter <= 10 Micrometers,tonnes,77.010091,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,6.330019282505267,Au,metal_mass
NU-MAIN-8b0264c9,,PM10 - Particulate Matter <= 10 Micrometers,tonnes,77.010091,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,6.330019282505266,Ag,metal_mass
NU-MAIN-8b0264c9,,PM2.5 - Particulate Matter <= 2.5 Micrometers,tonnes,19.829679,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,1.6299454890384397,Au,metal_mass
NU-MAIN-8b0264c9,,PM2.5 - Particulate Matter <= 2.5 Micrometers,tonnes,19.829679,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,1.6299454890384395,Ag,metal_mass
NU-MAIN-8b0264c9,,Selenium (and its compounds),kg,0.011622,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.0009552966779545321,Au,metal_mass
NU-MAIN-8b0264c9,,Selenium (and its compounds),kg,0.011622,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.000955296677954532,Ag,metal_mass
NU-MAIN-8b0264c9,,Thallium (and its compounds),kg,0.010684,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,0.0008781956382091053,Au,metal_mass
NU-MAIN-8b0264c9,,Thallium (and its compounds),kg,0.010684,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,0.0008781956382091053,Ag,metal_mass
NU-MAIN-8b0264c9,,Total particulate matter,tonnes,211.275012,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,17.366229314954733,Au,metal_mass
NU-MAIN-8b0264c9,,Total particulate matter,tonnes,211.275012,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,17.366229314954733,Ag,metal_mass
NU-MAIN-8b0264c9,,Total reduced sulphur (expressed as hydrogen sulphide),tonnes,69.569856,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Au,11.3260595934999,0.9309711843043807,5.718452273496402,Au,metal_mass
NU-MAIN-8b0264c9,,Total reduced sulphur (expressed as hydrogen sulphide),tonnes,69.569856,NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ag,0.8397945,0.06902881569561928,5.718452273496401,Ag,metal_mass
